Name,Brand,Movement,Display,Reserve,Frequency,URL
ETA caliber C07.621,ETA,Automatic,Analog,80,21600,https://watchbase.com/eta/caliber/c07-621
Carl F. Bucherer caliber CFB 1970,Carl F. Bucherer,Automatic,Analog,42,28800,https://watchbase.com/carl-f-bucherer/caliber/cfb-1970
Bremont caliber BE-93-2AE,Bremont,Automatic,Analog,42,28800,https://watchbase.com/bremont/caliber/be-93-2ae
Breitling caliber Caliber B55,Breitling,Quartz,Analog/ Digital,N/A,N/A,https://watchbase.com/breitling/caliber/caliber-b55
Breitling caliber Caliber B76,Breitling,Quartz,Analog/ Digital,26280,N/A,https://watchbase.com/breitling/caliber/caliber-b76
H. Moser & Cie caliber HMC 324,H. Moser & Cie,Handwound,Analog,96,18000,https://watchbase.com/h-moser-cie/caliber/hmc-324
Ball Watch caliber RR1102C,Ball Watch,Automatic,Analog,38,28800,https://watchbase.com/ball-watch/caliber/rr1102c
H. Moser & Cie caliber HMC 341,H. Moser & Cie,Handwound,Analog,168,18000,https://watchbase.com/h-moser-cie/caliber/hmc-341
Glashütte Original caliber 36-04,Glashütte Original,Automatic,Analog,100,28800,https://watchbase.com/glashutte-original/caliber/36-04
Glashütte Original caliber 66-12,Glashütte Original,Handwound,Analog,41,28800,https://watchbase.com/glashutte-original/caliber/66-12
IWC caliber 30140,IWC,Automatic,Analog,42,28800,https://watchbase.com/iwc/caliber/30140
Bulgari caliber BVL 268,Bulgari,Handwound,Analog,52,28800,https://watchbase.com/bulgari/caliber/bvl-268
Audemars Piguet caliber AP 2908,Audemars Piguet,Handwound,Analog,90,43200,https://watchbase.com/audemars-piguet/caliber/ap-2908
Frederique Constant caliber FC-975,Frederique Constant,Automatic,Analog,38,28800,https://watchbase.com/frederique-constant/caliber/fc-975
A. Lange & Söhne caliber L043.3,A. Lange & Söhne,Handwound,Digital,36,18000,https://watchbase.com/a-lange-sohne/caliber/l043-3
Breitling caliber 16B,Breitling,Automatic,Analog,42,28800,https://watchbase.com/breitling/caliber/16b
Cartier caliber 1917 MC,Cartier,Handwound,Analog,38,N/A,https://watchbase.com/cartier/caliber/1917-mc
Breguet caliber 588N,Breguet,Handwound,Analog,50,18000,https://watchbase.com/breguet/caliber/588n
Girard-Perregaux caliber GP03300-0134,Girard-Perregaux,Automatic,Analog,46,28800,https://watchbase.com/girard-perregaux/caliber/gp03300-0134
Eterna caliber 3909A,Eterna,Automatic,Analog,65,28800,https://watchbase.com/eterna/caliber/3909a
ETA caliber 956.112,ETA,Quartz,Analog,26280,N/A,https://watchbase.com/eta/caliber/956-112
Glashütte Original caliber 58-04,Glashütte Original,Handwound,Analog,42,28800,https://watchbase.com/glashutte-original/caliber/58-04
Ball Watch caliber RR1103,Ball Watch,Automatic,Analog,N/A,28800,https://watchbase.com/ball-watch/caliber/rr1103
Blancpain caliber 225,Blancpain,Automatic,Analog,120,N/A,https://watchbase.com/blancpain/caliber/225
Chopard caliber L.U.C 02.19-L,Chopard,Handwound,Analog,216,28800,https://watchbase.com/chopard/caliber/l-u-c-02-19-l
IWC caliber 30130,IWC,Automatic,Analog,42,28800,https://watchbase.com/iwc/caliber/30130
ETA caliber F04.101,ETA,Quartz,Analog,26280,N/A,https://watchbase.com/eta/caliber/f04-101
Blancpain caliber 1241,Blancpain,Automatic,Analog,40,N/A,https://watchbase.com/blancpain/caliber/1241
Breguet caliber 7281,Breguet,Automatic,Analog,60,36000,https://watchbase.com/breguet/caliber/7281
Breitling caliber Caliber B01 Chronoworks,Breitling,Automatic,Analog,100,28800,https://watchbase.com/breitling/caliber/caliber-b01-chronoworks
IWC caliber 375,IWC,Automatic,Analog,42,28800,https://watchbase.com/iwc/caliber/375
Breitling caliber Caliber B20,Breitling,Automatic,Analog,70,28800,https://watchbase.com/breitling/caliber/caliber-b20
Corum caliber CO 082,Corum,Automatic,Analog,42,28800,https://watchbase.com/corum/caliber/co-082
H. Moser & Cie caliber HMC 802,H. Moser & Cie,Automatic,Analog,72,21600,https://watchbase.com/h-moser-cie/caliber/hmc-802
Bell & Ross caliber BR-CAL.283,Bell & Ross,Handwound,Analog,100,21600,https://watchbase.com/bell-ross/caliber/br-cal-283
Grand Seiko caliber 9S64,Grand Seiko,Handwound,Analog,72,28800,https://watchbase.com/grand-seiko/caliber/9s64
Breitling caliber Caliber 23 ND,Breitling,Automatic,Analog,42,28800,https://watchbase.com/breitling/caliber/caliber-23-nd
Bulgari caliber GG 7800,Bulgari,Automatic,Analog,38,21600,https://watchbase.com/bulgari/caliber/gg-7800
Girard-Perregaux caliber GP03300-0129,Girard-Perregaux,Automatic,Analog,46,28800,https://watchbase.com/girard-perregaux/caliber/gp03300-0129
De Bethune caliber DB2109V4,De Bethune,Handwound,Analog,96,36000,https://watchbase.com/de-bethune/caliber/db2109v4
Hublot caliber HUB1710,Hublot,Automatic,Analog,50,28800,https://watchbase.com/hublot/caliber/hub1710
Bremont caliber BE-50AE,Bremont,Automatic,Analog,42,28800,https://watchbase.com/bremont/caliber/be-50ae
ETA caliber A07.211,ETA,Automatic,Analog,46,28800,https://watchbase.com/eta/caliber/a07-211
A. Lange & Söhne caliber L043.5,A. Lange & Söhne,Handwound,Digital,36,18000,https://watchbase.com/a-lange-sohne/caliber/l043-5
Audemars Piguet caliber AP 2240,Audemars Piguet,Automatic,Analog,40,28800,https://watchbase.com/audemars-piguet/caliber/ap-2240
Breguet caliber 502.3,Breguet,Automatic,Analog,45,21600,https://watchbase.com/breguet/caliber/502-3
ETA caliber 2834-2,ETA,Automatic,Analog,38,28800,https://watchbase.com/eta/caliber/2834-2
Frederique Constant caliber FC-330,Frederique Constant,Automatic,Analog,38,28800,https://watchbase.com/frederique-constant/caliber/fc-330
Breitling caliber Caliber B16,Breitling,Automatic,Analog,42,28800,https://watchbase.com/breitling/caliber/caliber-b16
Audemars Piguet caliber AP 2956,Audemars Piguet,Handwound,Analog,48,21600,https://watchbase.com/audemars-piguet/caliber/ap-2956
ETA caliber 280.002,ETA,Quartz,Analog,N/A,N/A,https://watchbase.com/eta/caliber/280-002
Bremont caliber BE-17AE,Bremont,Automatic,Analog,42,28800,https://watchbase.com/bremont/caliber/be-17ae
ETA caliber F05.115,ETA,Quartz,Analog,26280,N/A,https://watchbase.com/eta/caliber/f05-115
Glashütte Original caliber 66-09,Glashütte Original,Handwound,Analog,41,28800,https://watchbase.com/glashutte-original/caliber/66-09
Blancpain caliber 1315,Blancpain,Automatic,Analog,120,N/A,https://watchbase.com/blancpain/caliber/1315
Bremont caliber BE-36AE,Bremont,Automatic,Analog,38,28800,https://watchbase.com/bremont/caliber/be-36ae
ETA caliber F05.412,ETA,Quartz,Analog,26280,N/A,https://watchbase.com/eta/caliber/f05-412
Blancpain caliber 6950,Blancpain,Automatic,Analog,72,N/A,https://watchbase.com/blancpain/caliber/6950
Cartier caliber 9907 MC,Cartier,Handwound,Analog,50,N/A,https://watchbase.com/cartier/caliber/9907-mc
Chopard caliber L.U.C 02.13-L,Chopard,Handwound,Analog,216,28800,https://watchbase.com/chopard/caliber/l-u-c-02-13-l
ETA caliber F07.111,ETA,Quartz,Analog,26280,N/A,https://watchbase.com/eta/caliber/f07-111
Glashütte Original caliber 36-02,Glashütte Original,Automatic,Analog,100,28800,https://watchbase.com/glashutte-original/caliber/36-02
Breitling caliber 44B,Breitling,Automatic,Analog,42,28800,https://watchbase.com/breitling/caliber/44b
A. Lange & Söhne caliber L042.1,A. Lange & Söhne,Handwound,Analog,120,21600,https://watchbase.com/a-lange-sohne/caliber/l042-1
A. Lange & Söhne caliber L901.1,A. Lange & Söhne,Handwound,Analog,72,21600,https://watchbase.com/a-lange-sohne/caliber/l901-1
Carl F. Bucherer caliber CFB A2011,Carl F. Bucherer,Automatic,Analog,55,N/A,https://watchbase.com/carl-f-bucherer/caliber/cfb-a2011
Ball Watch caliber RR1402,Ball Watch,Automatic,Analog,42,28800,https://watchbase.com/ball-watch/caliber/rr1402
Daniel Roth caliber DR001,Daniel Roth,Handwound,Analog,80,21600,https://watchbase.com/daniel-roth/caliber/dr001
ETA caliber C07.611,ETA,Automatic,Analog,80,21600,https://watchbase.com/eta/caliber/c07-611
IWC caliber 35720,IWC,Automatic,Analog,42,28800,https://watchbase.com/iwc/caliber/35720
